cluster,human_0,ai_1,total,ratio_human_ai,ratio_ai_human,pct_ai
-1,85414,120678,206092,0.7077843517459687,1.4128597185473108,58.55540244162801
0,8293,21737,30030,0.3815153885080738,2.6211262510551068,72.38428238428239
1,195891,15882,211773,12.334151870041557,0.08107570026188034,7.499539601365614
2,1747,5551,7298,0.3147180688164295,3.177447052089296,76.06193477665114
3,2278,7399,9677,0.30787944316799565,3.248024582967515,76.45964658468533
4,1179,4542,5721,0.25957727873183617,3.8524173027989823,79.39171473518616
5,9936,34601,44537,0.2871593306551834,3.4823872785829306,77.69045961784583
6,541,6635,7176,0.08153730218538056,12.264325323475045,92.46098104793758
7,3501,8269,11770,0.4233885596807353,2.3618966009711513,70.25488530161428
8,9130,25149,34279,0.36303630363036304,2.7545454545454544,73.36561743341404
9,7538,15511,23049,0.48597769324995166,2.0577076147519238,67.29576120439064
10,4945,17477,22422,0.28294329690450304,3.53427704752275,77.94576754972795
11,30420,77382,107802,0.39311467783205395,2.5437869822485206,71.78159959926532
